@relation 'XXXXXXL2 2'

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja_sp,windykacja}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
odmowa,800,50,mezczyzna,11,980,0,110,48,0
splacona_cz,575.74,32,mezczyzna,11,2050,1,115,48,1
splacona_cz,600,35,kobieta,11,2400,0,110,48,0
splacona_cz,400,54,kobieta,12,1700,1,51,2,0
odmowa,300,66,mezczyzna,13,1408.27,0,73,48,0
splacona,200,62,kobieta,16,1389,0,88,48,0
splacona_cz,200,57,mezczyzna,16,763.38,0,210,48,0
splacona_cz,285.97,68,kobieta,13,1017,1,159,48,1
splacona_cz,200,45,kobieta,11,658,0,90,48,0
splacona_cz,300,69,kobieta,13,729.03,1,257,48,0
splacona,600,56,mezczyzna,11,2031,1,112,48,0
splacona_cz,400,50,kobieta,17,990,1,69,17,0
splacona_cz,300,52,mezczyzna,11,2080,1,319,48,0
odmowa,300,30,mezczyzna,12,1250,0,11,0,0
splacona_cz,200,35,mezczyzna,12,1017,0,54,6,0
splacona_cz,200,65,kobieta,13,910,1,66,48,0
splacona,300,22,mezczyzna,11,1400,0,20,48,0
odmowa,800,45,kobieta,98,3000,0,7,48,0
splacona_cz,500,35,kobieta,11,1700,0,196,48,1
splacona_cz,400,51,kobieta,12,1040,1,14,5,0
splacona,300,36,mezczyzna,11,2500,0,153,48,0
odmowa,1000,47,mezczyzna,11,3500,0,31,48,0
splacona_cz,300,58,kobieta,13,1244.77,1,36,48,1
windykacja_sp,400,34,mezczyzna,11,1060.96,0,5,48,464
splacona_cz,300,72,mezczyzna,13,960,1,138,48,7
splacona_cz,300,73,mezczyzna,13,1457,0,76,48,0
odmowa,200,42,kobieta,99,1000,0,9,2,0
splacona_cz,200,40,mezczyzna,12,700,0,5,18,0
splacona_cz,200,70,kobieta,13,722.05,0,196,48,6
splacona_cz,200,65,kobieta,13,1216,1,139,48,0
windykacja,500,33,kobieta,12,2000,0,3,2,2687
splacona_cz,700,58,kobieta,13,1872,1,31,48,1
splacona_cz,800,55,kobieta,13,3440,1,48,48,8
splacona,300,43,mezczyzna,12,1463.56,1,1,10,0
windykacja_sp,540.54,36,kobieta,11,2478,0,156,48,436
splacona_cz,600,31,kobieta,12,855,1,41,19,0
splacona_cz,500.8,35,kobieta,98,4000,1,15,48,1
splacona,500,49,kobieta,11,4900,0,7,48,0
splacona_cz,400,60,kobieta,13,1280,1,13,48,0
splacona_cz,500,34,mezczyzna,11,2200,1,82,48,8
splacona_cz,600,33,kobieta,12,1540,0,35,4,0
splacona_cz,300,50,kobieta,12,1000,1,28,1,9
splacona_cz,300,59,mezczyzna,16,726,1,232,48,2
splacona_cz,500,64,mezczyzna,13,1530,1,31,48,5
windykacja,300,52,mezczyzna,12,1000,1,5,0,2687
splacona,449.61,53,mezczyzna,11,1552.16,1,96,48,236
splacona_cz,369.96,35,kobieta,11,2709.34,1,180,48,1
splacona_cz,600,50,mezczyzna,12,2673.17,1,109,48,0
windykacja_sp,300,66,mezczyzna,13,1169,0,76,48,398
splacona_cz,400,56,mezczyzna,13,1561.87,0,196,48,1
splacona_cz,426.61,49,kobieta,11,2470,1,355,48,0
odmowa,200,46,kobieta,11,963.57,0,214,48,0
splacona_cz,300,44,kobieta,11,1344.9,0,42,48,5
splacona_cz,200,72,kobieta,13,930,1,239,48,0
splacona,200,65,kobieta,13,1125,1,123,48,0
splacona_cz,400,33,kobieta,11,980.11,1,41,48,0
splacona_cz,300,60,mezczyzna,12,1000,1,8,2,8
splacona,300,64,mezczyzna,13,1611,1,139,48,0
splacona_cz,500,70,kobieta,13,1200,1,117,48,0
odmowa,800,56,kobieta,12,1215.64,0,7,48,0
splacona_cz,600,60,kobieta,13,1050,1,137,48,1
splacona,300,61,kobieta,13,1199.37,0,11,48,452
splacona_cz,400,59,kobieta,13,1400,0,51,48,0
splacona_cz,600,29,mezczyzna,12,1300,1,24,18,7
splacona_cz,335.97,54,kobieta,11,1721.7,1,118,48,1
splacona_cz,300,54,mezczyzna,17,798.8,1,147,5,7
splacona_cz,200,56,mezczyzna,11,1500,0,397,48,1
splacona_cz,200,30,kobieta,12,980,1,6,0,3
splacona,200,74,kobieta,13,1000,0,210,48,7
splacona_cz,430,66,kobieta,13,919,1,139,48,14
splacona_cz,300,45,kobieta,12,1032,1,35,6,5
odmowa,700,35,mezczyzna,12,2000,0,6,6,0
splacona_cz,200,63,kobieta,13,856,0,54,48,0
splacona_cz,1000,30,mezczyzna,11,2700,1,61,48,0
splacona_cz,500,58,mezczyzna,16,1770,1,86,48,0
windykacja_sp,300,54,kobieta,16,1788,1,60,48,462
splacona_cz,200,36,kobieta,12,599.03,0,15,3,6
splacona_cz,231.22,52,mezczyzna,12,1000,1,8,31,7
splacona_cz,400,66,kobieta,13,1085,1,165,48,0
splacona_cz,500,55,mezczyzna,13,1900,1,148,48,0
